,Location type,ParentLocation,PM25 Value,Average PM25
147,Country,Europe,14.08,23.53843492063492
148,Country,Europe,14.11,23.53843492063492
149,Country,Europe,14.13,23.53843492063492
150,Country,Africa,14.21,23.53843492063492
151,Country,Europe,14.22,23.53843492063492
152,Country,Americas,14.23,23.53843492063492
153,Country,Europe,14.24,23.53843492063492
154,Country,Eastern Mediterranean,14.26,23.53843492063492
155,Country,Eastern Mediterranean,14.28,23.53843492063492
156,Country,Europe,14.34,23.53843492063492
157,Country,Africa,14.34,23.53843492063492
158,Country,Europe,14.37,23.53843492063492
159,Country,Africa,14.37,23.53843492063492
160,Country,Africa,14.38,23.53843492063492
161,Country,Eastern Mediterranean,14.41,23.53843492063492
162,Country,Africa,14.42,23.53843492063492
163,Country,Africa,14.47,23.53843492063492
164,Country,Africa,14.47,23.53843492063492
165,Country,Africa,14.49,23.53843492063492
166,Country,Europe,14.51,23.53843492063492
167,Country,Europe,14.52,23.53843492063492
168,Country,Europe,14.55,23.53843492063492
169,Country,Europe,14.6,23.53843492063492
170,Country,Europe,14.61,23.53843492063492
171,Country,Europe,14.62,23.53843492063492
172,Country,Europe,14.67,23.53843492063492
173,Country,Americas,14.7,23.53843492063492
174,Country,Africa,14.71,23.53843492063492
175,Country,Europe,14.73,23.53843492063492
176,Country,Africa,14.73,23.53843492063492
177,Country,Africa,14.77,23.53843492063492
178,Country,Africa,14.78,23.53843492063492
179,Country,Europe,14.82,23.53843492063492
180,Country,Americas,14.83,23.53843492063492
181,Country,Europe,14.83,23.53843492063492
182,Country,Europe,14.9,23.53843492063492
183,Country,Eastern Mediterranean,14.92,23.53843492063492
184,Country,Africa,15.01,23.53843492063492
185,Country,Europe,15.03,23.53843492063492
186,Country,Americas,15.06,23.53843492063492
187,Country,Africa,15.07,23.53843492063492
188,Country,Americas,15.09,23.53843492063492
189,Country,Europe,15.09,23.53843492063492
190,Country,Europe,15.2,23.53843492063492
191,Country,Europe,15.22,23.53843492063492
192,Country,Europe,15.29,23.53843492063492
193,Country,Americas,15.31,23.53843492063492
194,Country,Africa,15.36,23.53843492063492
195,Country,Americas,15.46,23.53843492063492
196,Country,Americas,15.46,23.53843492063492
197,Country,Europe,15.46,23.53843492063492
198,Country,Europe,15.48,23.53843492063492
199,Country,Europe,15.49,23.53843492063492
200,Country,Europe,15.5,23.53843492063492
201,Country,Europe,15.55,23.53843492063492
202,Country,Europe,15.58,23.53843492063492
203,Country,Europe,15.64,23.53843492063492
204,Country,Europe,15.65,23.53843492063492
205,Country,Africa,15.71,23.53843492063492
206,Country,Americas,15.79,23.53843492063492
207,Country,Europe,15.81,23.53843492063492
208,Country,Americas,15.86,23.53843492063492
209,Country,Europe,15.89,23.53843492063492
210,Country,Africa,15.93,23.53843492063492
211,Country,Americas,15.93,23.53843492063492
212,Country,Africa,15.94,23.53843492063492
213,Country,Europe,15.94,23.53843492063492
214,Country,Americas,15.97,23.53843492063492
215,Country,Africa,15.99,23.53843492063492
216,Country,Americas,16.0,23.53843492063492
217,Country,Africa,16.02,23.53843492063492
218,Country,Europe,16.07,23.53843492063492
219,Country,Africa,16.1,23.53843492063492
220,Country,Americas,16.12,23.53843492063492
221,Country,Africa,16.12,23.53843492063492
222,Country,Europe,16.13,23.53843492063492
223,Country,Americas,16.14,23.53843492063492
224,Country,Europe,16.16,23.53843492063492
225,Country,Africa,16.17,23.53843492063492
226,Country,Americas,16.19,23.53843492063492
227,Country,Americas,16.21,23.53843492063492
228,Country,Africa,16.27,23.53843492063492
229,Country,Americas,16.27,23.53843492063492
230,Country,Europe,16.27,23.53843492063492
231,Country,Europe,16.28,23.53843492063492
232,Country,Europe,16.29,23.53843492063492
233,Country,Africa,16.3,23.53843492063492
234,Country,Africa,16.35,23.53843492063492
235,Country,Europe,16.4,23.53843492063492
236,Country,Africa,16.45,23.53843492063492
237,Country,Europe,16.52,23.53843492063492
238,Country,Americas,16.55,23.53843492063492
239,Country,Americas,16.55,23.53843492063492
240,Country,Americas,16.58,23.53843492063492
241,Country,Europe,16.58,23.53843492063492
242,Country,Europe,16.64,23.53843492063492
243,Country,Americas,16.7,23.53843492063492
244,Country,Europe,16.7,23.53843492063492
245,Country,Western Pacific,16.71,23.53843492063492
246,Country,Americas,16.73,23.53843492063492
247,Country,Africa,16.74,23.53843492063492
248,Country,Africa,16.9,23.53843492063492
249,Country,Americas,16.91,23.53843492063492
250,Country,South-East Asia,16.91,23.53843492063492
251,Country,South-East Asia,16.91,23.53843492063492
252,Country,Europe,16.93,23.53843492063492
253,Country,Africa,16.96,23.53843492063492
254,Country,Africa,17.03,23.53843492063492
255,Country,Africa,17.04,23.53843492063492
256,Country,Americas,17.07,23.53843492063492
257,Country,Europe,17.19,23.53843492063492
258,Country,Europe,17.29,23.53843492063492
259,Country,Africa,17.29,23.53843492063492
260,Country,Western Pacific,17.3,23.53843492063492
261,Country,Americas,17.31,23.53843492063492
262,Country,Africa,17.35,23.53843492063492
263,Country,Europe,17.36,23.53843492063492
264,Country,Western Pacific,17.43,23.53843492063492
265,Country,Africa,17.44,23.53843492063492
266,Country,Africa,17.44,23.53843492063492
267,Country,Europe,17.51,23.53843492063492
268,Country,Africa,17.51,23.53843492063492
269,Country,Africa,17.6,23.53843492063492
270,Country,Americas,17.6,23.53843492063492
271,Country,Western Pacific,17.67,23.53843492063492
272,Country,South-East Asia,17.74,23.53843492063492
273,Country,Europe,17.79,23.53843492063492
274,Country,Western Pacific,17.8,23.53843492063492
275,Country,Americas,17.83,23.53843492063492
276,Country,Europe,17.89,23.53843492063492
277,Country,Europe,17.93,23.53843492063492
278,Country,Africa,18.18,23.53843492063492
279,Country,Europe,18.3,23.53843492063492
280,Country,Western Pacific,18.35,23.53843492063492
281,Country,Africa,18.43,23.53843492063492
282,Country,Americas,18.43,23.53843492063492
283,Country,South-East Asia,18.45,23.53843492063492
284,Country,Europe,18.49,23.53843492063492
285,Country,Africa,18.52,23.53843492063492
286,Country,Africa,18.54,23.53843492063492
287,Country,Africa,18.55,23.53843492063492
288,Country,Europe,18.56,23.53843492063492
289,Country,Africa,18.57,23.53843492063492
290,Country,Americas,18.59,23.53843492063492
291,Country,Eastern Mediterranean,18.62,23.53843492063492
292,Country,Europe,18.63,23.53843492063492
293,Country,Europe,18.64,23.53843492063492
294,Country,Americas,18.71,23.53843492063492
295,Country,Europe,18.76,23.53843492063492
296,Country,Americas,18.82,23.53843492063492
297,Country,Europe,18.83,23.53843492063492
298,Country,Africa,18.85,23.53843492063492
299,Country,Americas,18.93,23.53843492063492
300,Country,Americas,19.04,23.53843492063492
301,Country,Europe,19.06,23.53843492063492
302,Country,Americas,19.08,23.53843492063492
303,Country,Americas,19.19,23.53843492063492
304,Country,Europe,19.3,23.53843492063492
305,Country,South-East Asia,19.34,23.53843492063492
306,Country,Americas,19.42,23.53843492063492
307,Country,Africa,19.43,23.53843492063492
308,Country,Europe,19.47,23.53843492063492
309,Country,Europe,19.51,23.53843492063492
310,Country,Americas,19.57,23.53843492063492
311,Country,Europe,19.65,23.53843492063492
312,Country,Europe,19.69,23.53843492063492
313,Country,Americas,19.75,23.53843492063492
314,Country,Africa,19.75,23.53843492063492
315,Country,South-East Asia,19.79,23.53843492063492
316,Country,Western Pacific,19.8,23.53843492063492
317,Country,Eastern Mediterranean,19.81,23.53843492063492
318,Country,Western Pacific,19.82,23.53843492063492
319,Country,Europe,19.9,23.53843492063492
320,Country,South-East Asia,19.93,23.53843492063492
321,Country,Eastern Mediterranean,19.98,23.53843492063492
322,Country,Africa,20.11,23.53843492063492
323,Country,Africa,20.18,23.53843492063492
324,Country,Africa,20.18,23.53843492063492
325,Country,Europe,20.36,23.53843492063492
326,Country,Africa,20.41,23.53843492063492
327,Country,Americas,20.42,23.53843492063492
328,Country,Europe,20.42,23.53843492063492
329,Country,Americas,20.45,23.53843492063492
330,Country,South-East Asia,20.45,23.53843492063492
331,Country,South-East Asia,20.47,23.53843492063492
332,Country,Americas,20.49,23.53843492063492
333,Country,Western Pacific,20.54,23.53843492063492
334,Country,Africa,20.65,23.53843492063492
335,Country,Eastern Mediterranean,20.72,23.53843492063492
336,Country,Americas,20.75,23.53843492063492
337,Country,Western Pacific,20.76,23.53843492063492
338,Country,Africa,20.82,23.53843492063492
339,Country,Europe,20.85,23.53843492063492
340,Country,Africa,20.87,23.53843492063492
341,Country,Europe,20.87,23.53843492063492
342,Country,Africa,20.89,23.53843492063492
343,Country,Western Pacific,20.89,23.53843492063492
344,Country,Western Pacific,20.93,23.53843492063492
345,Country,Eastern Mediterranean,21.0,23.53843492063492
346,Country,Eastern Mediterranean,21.04,23.53843492063492
347,Country,Western Pacific,21.15,23.53843492063492
348,Country,South-East Asia,21.29,23.53843492063492
349,Country,Africa,21.36,23.53843492063492
350,Country,Eastern Mediterranean,21.43,23.53843492063492
351,Country,Western Pacific,21.44,23.53843492063492
352,Country,Americas,21.51,23.53843492063492
353,Country,Western Pacific,21.52,23.53843492063492
354,Country,Europe,21.66,23.53843492063492
355,Country,Africa,21.69,23.53843492063492
356,Country,Africa,21.74,23.53843492063492
357,Country,Europe,21.74,23.53843492063492
358,Country,South-East Asia,21.77,23.53843492063492
359,Country,Americas,21.78,23.53843492063492
360,Country,Africa,21.8,23.53843492063492
361,Country,Africa,21.87,23.53843492063492
362,Country,Europe,21.91,23.53843492063492
363,Country,Western Pacific,21.95,23.53843492063492
364,Country,Western Pacific,22.12,23.53843492063492
365,Country,Americas,22.15,23.53843492063492
366,Country,Americas,22.16,23.53843492063492
367,Country,Africa,22.23,23.53843492063492
368,Country,Eastern Mediterranean,22.24,23.53843492063492
369,Country,South-East Asia,22.26,23.53843492063492
370,Country,Europe,22.33,23.53843492063492
371,Country,Africa,22.38,23.53843492063492
372,Country,Western Pacific,22.45,23.53843492063492
373,Country,Africa,22.48,23.53843492063492
374,Country,Americas,22.63,23.53843492063492
375,Country,Europe,22.67,23.53843492063492
376,Country,Africa,22.68,23.53843492063492
377,Country,Africa,22.74,23.53843492063492
378,Country,Americas,22.76,23.53843492063492
379,Country,Africa,22.76,23.53843492063492
380,Country,Eastern Mediterranean,22.79,23.53843492063492
381,Country,Africa,22.85,23.53843492063492
382,Country,Africa,22.94,23.53843492063492
383,Country,South-East Asia,22.95,23.53843492063492
384,Country,Europe,23.14,23.53843492063492
385,Country,South-East Asia,23.15,23.53843492063492
386,Country,Europe,23.17,23.53843492063492
387,Country,Europe,23.22,23.53843492063492
388,Country,Africa,23.22,23.53843492063492
389,Country,Europe,23.25,23.53843492063492
390,Country,Western Pacific,23.28,23.53843492063492
391,Country,Europe,23.28,23.53843492063492
392,Country,Western Pacific,23.3,23.53843492063492
393,Country,Americas,23.31,23.53843492063492
394,Country,Europe,23.34,23.53843492063492
395,Country,Africa,23.35,23.53843492063492
396,Country,Europe,23.43,23.53843492063492
397,Country,Eastern Mediterranean,23.46,23.53843492063492
398,Country,Africa,23.5,23.53843492063492
399,Country,Africa,23.55,23.53843492063492
400,Country,Europe,23.7,23.53843492063492
401,Country,Western Pacific,23.74,23.53843492063492
402,Country,Africa,23.75,23.53843492063492
403,Country,Eastern Mediterranean,23.77,23.53843492063492
404,Country,Africa,23.78,23.53843492063492
405,Country,Europe,23.79,23.53843492063492
406,Country,Americas,23.84,23.53843492063492
407,Country,South-East Asia,23.86,23.53843492063492
408,Country,South-East Asia,23.88,23.53843492063492
409,Country,Europe,23.9,23.53843492063492
410,Country,Western Pacific,24.04,23.53843492063492
411,Country,Africa,24.04,23.53843492063492
412,Country,Eastern Mediterranean,24.07,23.53843492063492
413,Country,South-East Asia,24.13,23.53843492063492
414,Country,Western Pacific,24.19,23.53843492063492
415,Country,Western Pacific,24.2,23.53843492063492
416,Country,Western Pacific,24.22,23.53843492063492
417,Country,Eastern Mediterranean,24.23,23.53843492063492
418,Country,Europe,24.25,23.53843492063492
419,Country,Eastern Mediterranean,24.36,23.53843492063492
420,Country,Western Pacific,24.38,23.53843492063492
421,Country,Eastern Mediterranean,24.42,23.53843492063492
422,Country,Americas,24.55,23.53843492063492
423,Country,Americas,24.55,23.53843492063492
424,Country,Eastern Mediterranean,24.61,23.53843492063492
425,Country,Africa,24.63,23.53843492063492
426,Country,Europe,24.64,23.53843492063492
427,Country,South-East Asia,24.64,23.53843492063492
428,Country,Eastern Mediterranean,24.73,23.53843492063492
429,Country,South-East Asia,24.79,23.53843492063492
430,Country,Eastern Mediterranean,24.81,23.53843492063492
431,Country,Western Pacific,24.87,23.53843492063492
432,Country,Eastern Mediterranean,24.9,23.53843492063492
433,Country,Western Pacific,25.05,23.53843492063492
434,Country,Eastern Mediterranean,25.14,23.53843492063492
435,Country,Europe,25.17,23.53843492063492
436,Country,Americas,25.23,23.53843492063492
437,Country,South-East Asia,25.26,23.53843492063492
438,Country,Eastern Mediterranean,25.31,23.53843492063492
439,Country,Western Pacific,25.32,23.53843492063492
440,Country,Eastern Mediterranean,25.35,23.53843492063492
441,Country,Western Pacific,25.39,23.53843492063492
442,Country,Africa,25.44,23.53843492063492
443,Country,Africa,25.46,23.53843492063492
444,Country,South-East Asia,25.48,23.53843492063492
445,Country,Africa,25.67,23.53843492063492
446,Country,Eastern Mediterranean,25.76,23.53843492063492
447,Country,Eastern Mediterranean,25.87,23.53843492063492
448,Country,Europe,26.02,23.53843492063492
449,Country,Americas,26.07,23.53843492063492
450,Country,South-East Asia,26.1,23.53843492063492
451,Country,Europe,26.18,23.53843492063492
452,Country,Europe,26.19,23.53843492063492
453,Country,Eastern Mediterranean,26.28,23.53843492063492
454,Country,Africa,26.29,23.53843492063492
455,Country,Africa,26.31,23.53843492063492
456,Country,South-East Asia,26.34,23.53843492063492
457,Country,Europe,26.4,23.53843492063492
458,Country,Europe,26.41,23.53843492063492
459,Country,Europe,26.43,23.53843492063492
460,Country,South-East Asia,26.44,23.53843492063492
461,Country,Eastern Mediterranean,26.47,23.53843492063492
462,Country,Africa,26.47,23.53843492063492
463,Country,Europe,26.5,23.53843492063492
464,Country,Eastern Mediterranean,26.52,23.53843492063492
465,Country,Eastern Mediterranean,26.57,23.53843492063492
466,Country,Africa,26.66,23.53843492063492
467,Country,Americas,26.89,23.53843492063492
468,Country,South-East Asia,26.89,23.53843492063492
469,Country,Africa,27.06,23.53843492063492
470,Country,Europe,27.15,23.53843492063492
471,Country,South-East Asia,27.16,23.53843492063492
472,Country,Africa,27.16,23.53843492063492
473,Country,Africa,27.2,23.53843492063492
474,Country,Africa,27.36,23.53843492063492
475,Country,Eastern Mediterranean,27.39,23.53843492063492
476,Country,Americas,27.43,23.53843492063492
477,Country,Americas,27.54,23.53843492063492
478,Country,South-East Asia,27.58,23.53843492063492
479,Country,South-East Asia,27.75,23.53843492063492
480,Country,South-East Asia,27.85,23.53843492063492
481,Country,Africa,27.98,23.53843492063492
482,Country,Africa,28.0,23.53843492063492
483,Country,Eastern Mediterranean,28.11,23.53843492063492
484,Country,Europe,28.13,23.53843492063492
485,Country,Eastern Mediterranean,28.26,23.53843492063492
486,Country,Europe,28.31,23.53843492063492
487,Country,Africa,28.38,23.53843492063492
488,Country,Eastern Mediterranean,28.4,23.53843492063492
489,Country,Europe,28.41,23.53843492063492
490,Country,Africa,28.43,23.53843492063492
491,Country,Eastern Mediterranean,28.5,23.53843492063492
492,Country,Europe,28.67,23.53843492063492
493,Country,Africa,28.68,23.53843492063492
494,Country,Eastern Mediterranean,28.72,23.53843492063492
495,Country,Eastern Mediterranean,28.89,23.53843492063492
496,Country,Africa,29.01,23.53843492063492
497,Country,Africa,29.04,23.53843492063492
498,Country,Americas,29.07,23.53843492063492
499,Country,Africa,29.13,23.53843492063492
500,Country,Africa,29.45,23.53843492063492
501,Country,Africa,29.48,23.53843492063492
502,Country,Africa,29.56,23.53843492063492
503,Country,Europe,29.67,23.53843492063492
504,Country,Eastern Mediterranean,29.84,23.53843492063492
505,Country,Africa,30.04,23.53843492063492
506,Country,Eastern Mediterranean,30.21,23.53843492063492
507,Country,Eastern Mediterranean,30.69,23.53843492063492
508,Country,Eastern Mediterranean,30.79,23.53843492063492
509,Country,Africa,30.8,23.53843492063492
510,Country,Eastern Mediterranean,30.82,23.53843492063492
